,home_team_api_id,away_team_api_id,home_team_mean_rating,away_team_mean_rating,home_top_players,away_top_players,AVG_bet_H,AVG_bet_A_D,h_5_games_pts,a_5_games_pts,h_only_10_games_pts,a_only_10_games_pts,final_result
71,9991,9993,70.45454545454545,66.95454545454545,0,0,1.3533333333333335,2.0679166666666666,11,7,18,4,0
72,8635,9994,73.68181818181819,68.77272727272727,0,0,1.2883333333333333,1.3195833333333333,7,6,20,13,1
73,9985,9987,71.0,71.04545454545455,0,0,1.9083333333333332,3.0354166666666664,11,7,20,8,0
74,9997,8203,65.72727272727273,66.95454545454545,0,0,2.313333333333333,2.30625,4,7,5,6,0
75,10000,9998,67.13636363636364,65.31818181818181,0,0,2.0500000000000003,1.3162500000000001,3,7,7,5,0
76,1773,8342,64.04545454545455,72.22727272727273,0,0,5.258333333333334,1.3104166666666666,4,9,11,12,1
77,9989,8571,66.0,66.86363636363636,0,0,2.5083333333333333,1.7187500000000002,4,10,8,11,1
79,9984,9991,68.0,70.31818181818181,0,0,3.0333333333333337,1.9791666666666667,7,10,13,11,0
80,8342,10000,70.63636363636364,67.45454545454545,0,0,1.3516666666666666,2.795833333333333,9,3,19,0,1
81,9987,9984,71.18181818181819,68.4090909090909,0,0,1.68,1.4012499999999999,5,4,14,11,1
83,9993,9989,66.9090909090909,65.5,0,0,1.7166666666666668,1.427083333333333,7,4,12,5,0
84,9994,9997,68.77272727272727,65.45454545454545,0,0,1.6366666666666667,1.7125000000000001,6,4,1,5,0
85,8571,9985,67.18181818181819,69.54545454545455,0,0,2.8533333333333335,1.3083333333333333,7,9,16,7,1
86,8203,1773,66.95454545454545,64.04545454545455,0,0,1.6749999999999998,2.7554166666666666,5,4,12,4,0
87,9998,8635,65.31818181818181,73.77272727272727,0,0,4.883333333333334,3.3554166666666667,10,10,15,16,0
88,8635,8203,73.36363636363636,66.95454545454545,1,0,1.3656666666666668,2.922916666666667,0,3,0,0,1
89,9985,9994,71.45454545454545,68.72727272727273,0,0,1.55,1.5241666666666667,1,0,0,0,1
91,9997,8342,65.72727272727273,71.77272727272727,0,0,5.008333333333333,1.3116666666666668,0,3,0,0,0
93,9989,9987,66.4090909090909,71.31818181818181,0,0,3.838333333333333,1.3088749999999998,1,3,0,0,0
94,10001,8571,66.04545454545455,66.68181818181819,0,0,1.9516666666666664,2.4875000000000003,0,1,0,0,0
95,9984,9998,65.63636363636364,64.27272727272727,0,0,1.883333333333333,2.2020833333333334,0,1,0,0,0
96,8635,8342,74.36363636363636,72.31818181818181,0,0,1.7566666666666668,2.6929166666666666,8,12,23,12,1
97,9985,9993,71.9090909090909,66.45454545454545,0,0,1.43,1.6166666666666665,6,7,21,7,1
98,9997,8571,65.5,66.63636363636364,0,0,2.83,1.4062499999999998,5,9,6,11,0
99,10000,9987,68.0909090909091,72.0,0,1,2.921666666666667,1.4679166666666665,2,7,7,9,0
100,1773,9994,65.72727272727273,68.63636363636364,0,0,2.7266666666666666,1.4258333333333333,5,4,14,13,0
101,8203,9998,66.86363636363636,65.4090909090909,0,0,1.97,1.7270833333333335,6,10,13,8,1
102,9989,9991,66.27272727272727,70.72727272727273,0,0,4.908333333333333,3.189583333333333,5,10,11,14,1
104,8342,8203,71.54545454545455,66.9090909090909,0,0,1.4306666666666665,1.3216666666666668,9,9,22,7,0
105,9987,9997,72.0,65.72727272727273,1,0,1.3233333333333333,1.6312499999999999,8,3,17,6,1
106,9991,10000,70.63636363636364,67.86363636363636,0,0,1.389,1.7979166666666666,7,2,18,0,0
107,9993,9984,66.54545454545455,68.27272727272727,0,0,2.3433333333333333,1.3462500000000002,7,4,13,11,1
108,9994,9989,69.0909090909091,66.4090909090909,0,0,1.6594999999999998,1.6166666666666665,4,8,2,6,1
109,8571,8635,66.31818181818181,74.36363636363636,0,0,3.941666666666667,1.3895833333333332,10,8,19,17,0
110,9998,1773,64.95454545454545,64.54545454545455,0,0,1.6125,2.8825000000000003,7,6,16,5,0
111,10001,9985,66.0909090909091,70.81818181818181,0,0,4.313833333333332,2.529583333333333,2,6,4,7,0
112,8342,9994,71.81818181818181,68.36363636363636,0,0,1.5,1.4020833333333333,6,6,22,14,1
113,8635,9991,74.45454545454545,71.0,0,0,1.6216666666666668,2.103333333333333,10,5,26,14,1
114,9985,9998,71.5909090909091,65.22727272727273,0,0,1.4416666666666667,1.7770833333333333,6,5,24,8,1
115,9997,10001,65.95454545454545,65.81818181818181,0,0,2.141666666666667,1.7354166666666668,3,2,7,2,0
116,1773,8571,64.54545454545455,66.36363636363636,0,0,2.7950000000000004,1.3079166666666666,7,7,15,11,0
117,8203,9987,67.18181818181819,71.4090909090909,0,1,2.5416666666666665,1.3533333333333335,11,11,16,10,1
118,9989,9984,66.04545454545455,67.95454545454545,0,0,2.686666666666667,1.3783333333333332,7,3,14,11,0
119,10000,9993,67.54545454545455,66.72727272727273,0,0,1.9916666666666665,2.24375,3,10,8,7,1
120,9987,1773,72.68181818181819,64.68181818181819,1,0,1.346666666666667,1.6875,8,6,20,6,1
121,9991,9997,71.0,65.5,0,0,1.2866666666666666,1.8416666666666666,4,3,19,6,1
122,9993,8635,66.54545454545455,74.45454545454545,0,0,5.15,1.4187500000000002,7,13,16,20,0
123,9994,8203,68.54545454545455,66.54545454545455,0,0,2.1166666666666667,1.7479166666666666,5,11,5,10,1
124,8571,10000,65.81818181818181,67.86363636363636,0,0,1.8866666666666667,1.625,7,5,19,1,0
125,9998,8342,65.9090909090909,71.86363636363636,0,0,3.6,2.8095833333333338,5,6,17,12,0
126,10001,9989,65.9090909090909,66.13636363636364,0,0,2.1416666666666666,6.260416666666667,4,8,5,5,0
127,9984,9985,67.81818181818181,71.86363636363636,0,0,2.8166666666666664,1.5520833333333333,4,8,13,8,0
128,8342,9993,71.9090909090909,66.5909090909091,0,0,1.4033333333333333,1.395833333333333,9,5,22,7,1
129,8635,9987,74.45454545454545,71.68181818181819,0,1,1.4949999999999999,1.3949999999999998,11,10,26,10,1
130,9997,9984,65.5,66.18181818181819,0,0,2.8083333333333336,1.3604166666666668,2,1,6,12,0
131,10000,10001,68.0909090909091,65.63636363636364,0,0,1.656666666666667,1.3970833333333335,6,4,10,5,1
132,9994,9998,68.54545454545455,65.31818181818181,0,0,1.905,3.875,8,2,8,8,1
133,8203,8571,67.04545454545455,65.86363636363636,0,0,1.96,1.58125,10,8,19,14,0
134,9989,9985,66.63636363636364,71.86363636363636,0,0,3.955,2.1062499999999997,8,10,14,10,0
135,1773,9991,65.86363636363636,70.18181818181819,0,0,5.666666666666667,1.7208333333333332,3,7,15,14,0
136,9985,8635,72.04545454545455,74.5,0,0,2.9416666666666664,1.3399999999999999,13,13,24,18,0
137,9987,9994,72.22727272727273,68.13636363636364,1,0,1.5899999999999999,1.4179166666666667,7,10,23,11,0
138,9991,8342,69.86363636363636,72.04545454545455,0,0,2.0349999999999997,1.5583333333333336,7,9,22,14,0
140,8571,9998,66.31818181818181,65.9090909090909,0,0,1.8499999999999999,1.8375000000000001,6,1,20,8,0
141,9989,10000,66.54545454545455,68.0909090909091,0,0,2.6633333333333336,3.4075,7,9,13,2,1
142,10001,1773,66.18181818181819,65.5909090909091,0,0,1.9366666666666665,1.3687500000000001,4,2,5,6,0
143,9984,8203,66.13636363636364,66.5,0,0,2.0999999999999996,1.5625,4,10,13,7,1
144,8342,8571,72.4090909090909,66.68181818181819,0,0,1.4249999999999998,1.4479166666666667,12,6,22,15,1
145,8635,10001,73.86363636363636,66.04545454545455,0,0,1.1216666666666668,1.4270833333333333,13,4,28,5,1
146,9997,9989,65.22727272727273,66.45454545454545,0,0,2.2716666666666665,3.8854166666666665,1,7,6,8,0
147,10000,9985,68.13636363636364,70.04545454545455,0,0,2.85,2.5054166666666666,8,10,13,13,1
148,1773,9984,65.63636363636364,65.86363636363636,0,0,2.9,1.4708333333333332,4,7,12,15,0
149,9994,9991,68.72727272727273,71.72727272727273,0,0,3.1833333333333336,1.4466666666666665,12,7,11,17,0
151,9998,9987,65.72727272727273,72.18181818181819,0,1,2.8833333333333333,1.6416666666666666,2,6,16,9,0
152,9985,9997,72.0,65.18181818181819,0,0,1.2516666666666667,1.3408333333333333,9,1,21,6,0
153,9987,8342,71.9090909090909,71.5909090909091,1,0,2.2083333333333335,1.3099999999999998,6,15,20,16,1
154,9993,1773,67.04545454545455,65.54545454545455,0,0,1.6433333333333333,3.9791666666666665,4,3,17,9,1
155,8571,9994,66.4090909090909,67.77272727272727,0,0,1.9783333333333335,1.59375,6,10,20,13,0
156,9989,8635,66.68181818181819,74.36363636363636,0,0,6.041666666666667,1.6833333333333333,8,13,15,20,0
157,10001,8203,66.22727272727273,66.9090909090909,0,0,2.7116666666666664,1.3095833333333333,3,7,5,6,0
158,9984,10000,64.63636363636364,68.0,0,0,2.246666666666666,1.5520833333333333,10,10,15,2,1
159,9991,9998,71.0,64.68181818181819,0,0,1.375,1.9408333333333332,7,1,19,8,1
160,8342,9985,71.45454545454545,71.5909090909091,0,0,1.8416666666666668,1.7562500000000003,12,7,24,12,1
161,8635,9984,74.0,66.0,0,0,1.3116666666666668,3.747916666666667,11,12,28,15,1
162,9997,10000,65.31818181818181,68.63636363636364,0,0,3.1033333333333335,4.083333333333333,2,7,7,2,1
163,1773,9989,65.72727272727273,65.77272727272727,0,0,2.2466666666666666,1.4758333333333333,3,8,12,9,0
165,8571,9987,66.04545454545455,72.22727272727273,0,1,2.5966666666666667,1.7708333333333333,3,9,17,12,1
166,8203,9991,68.36363636363636,70.22727272727273,0,0,2.72,1.4416666666666667,7,10,17,15,0
168,9985,1773,71.63636363636364,64.5,0,0,1.25,2.640833333333333,4,4,19,6,1
169,9991,8571,70.63636363636364,66.5,0,0,1.4833333333333334,1.4291666666666665,10,5,19,15,1
170,9993,9994,66.0909090909091,69.45454545454545,0,0,2.5116666666666667,1.4395833333333332,7,13,17,13,0
171,9997,8635,65.4090909090909,74.0,0,0,8.416666666666666,1.4004166666666666,5,13,10,18,0
172,10000,8203,67.86363636363636,67.72727272727273,0,0,2.0416666666666665,1.5729166666666667,6,4,13,9,1
173,9989,9998,65.5909090909091,65.77272727272727,0,0,2.091666666666667,1.3583333333333334,6,1,15,7,0
174,10001,9987,67.4090909090909,71.45454545454545,0,1,4.941666666666666,3.4895833333333335,0,6,5,9,1
175,9984,8342,66.54545454545455,71.77272727272727,0,0,3.9333333333333336,1.5554166666666667,12,12,15,13,0
176,8342,1773,71.72727272727273,63.86363636363637,0,0,1.2299999999999998,2.1125000000000003,4,3,3,0,1
178,9991,9985,70.04545454545455,71.31818181818181,0,0,2.1750000000000003,1.375,0,4,0,1,1
179,9993,10001,67.95454545454545,66.27272727272727,0,0,2.0083333333333333,2.092916666666667,0,1,0,0,1
180,9994,8635,68.72727272727273,72.0909090909091,0,0,4.258333333333333,2.2125,0,3,0,0,0
181,8571,9984,66.77272727272727,66.18181818181819,0,0,2.233333333333333,1.5866666666666667,2,1,1,0,1
182,8203,9989,67.27272727272727,66.36363636363636,0,0,1.7516666666666667,3.3366666666666664,3,2,3,1,1
183,9998,9997,64.45454545454545,65.5,0,0,1.913333333333333,3.098333333333333,2,1,1,0,1
184,8342,9989,71.27272727272727,65.86363636363636,0,0,1.2583333333333333,1.3387499999999999,12,7,24,9,1
185,8635,10000,74.36363636363636,67.72727272727273,0,0,1.2033333333333334,1.4437500000000003,11,6,28,2,1
186,9987,9991,71.31818181818181,70.9090909090909,1,0,2.4633333333333334,1.4979166666666666,6,10,22,15,1
188,9994,9984,69.13636363636364,66.54545454545455,0,0,2.1583333333333337,1.8095833333333333,11,9,12,14,1
189,8571,9993,65.9090909090909,66.54545454545455,0,0,1.8866666666666667,1.4908333333333335,4,5,17,7,1
190,8203,9985,66.77272727272727,70.86363636363636,0,0,2.58,1.5908333333333333,4,4,14,12,0
191,9998,10001,65.27272727272727,67.63636363636364,0,0,1.835,1.4937500000000001,2,3,13,5,1
192,9985,8571,71.5,66.0,0,0,1.455,1.5929166666666665,4,5,3,1,1
193,9997,9994,65.54545454545455,68.72727272727273,0,0,2.67,1.3279166666666666,1,0,1,0,0
194,10000,8342,66.9090909090909,72.04545454545455,0,0,2.7000000000000006,2.0845833333333332,0,7,0,1,0
195,1773,8203,63.86363636363637,67.27272727272727,0,0,2.866666666666667,1.5854166666666665,3,6,3,0,0
196,9989,9993,66.81818181818181,67.95454545454545,0,0,2.225,1.9866666666666666,2,3,1,0,0
198,9984,9987,66.72727272727273,70.22727272727273,0,0,3.25,3.1979166666666665,1,4,1,1,1
199,8635,9998,71.95454545454545,64.13636363636364,0,0,1.2816666666666667,3.3458333333333337,6,5,3,1,0
200,8342,8635,72.4090909090909,73.18181818181819,0,0,2.275,2.359583333333333,8,7,6,3,0
201,9987,8203,71.0909090909091,67.13636363636364,0,0,1.6450000000000002,1.3470833333333332,4,9,3,3,0
202,9991,9989,70.4090909090909,66.22727272727273,0,0,1.3516666666666666,1.6208333333333333,3,3,3,1,1
203,9993,9985,67.86363636363636,71.27272727272727,0,0,3.0833333333333335,1.3441666666666665,4,7,3,1,0
204,9994,1773,68.81818181818181,63.95454545454545,0,0,1.6650000000000003,1.6479166666666665,3,3,0,0,0
205,8571,9997,66.9090909090909,64.36363636363636,0,0,1.6016666666666666,1.6812500000000001,5,1,4,0,1
207,10001,9984,67.13636363636364,65.72727272727273,0,0,2.1833333333333336,1.45,1,4,1,0,0
208,8635,8571,73.18181818181819,66.5909090909091,0,0,1.32,3.3066666666666666,8,8,4,1,1
209,9985,10001,71.31818181818181,66.5,0,0,1.3483333333333334,1.31375,8,1,6,0,1
210,9997,9987,65.45454545454545,70.27272727272727,0,0,3.716666666666667,1.6708333333333334,1,5,1,1,0
211,10000,9991,66.68181818181819,70.68181818181819,0,0,2.6333333333333333,1.66875,1,6,1,0,0
212,1773,9998,63.40909090909091,64.13636363636364,0,0,2.425,2.7887500000000003,6,6,3,2,1
213,8203,8342,66.68181818181819,71.77272727272727,0,0,2.661666666666667,1.3120833333333335,10,9,6,2,0
214,9984,9993,66.4090909090909,67.81818181818181,0,0,1.8633333333333333,1.5125,7,5,4,1,1
215,9989,9994,66.18181818181819,68.77272727272727,0,0,2.441666666666667,1.9329166666666666,3,3,2,3,0
216,9987,9985,70.5,71.5909090909091,0,0,2.1999999999999997,2.120833333333333,8,10,4,2,1
217,9991,8635,70.27272727272727,73.27272727272727,0,0,2.466666666666667,2.4625,9,11,6,4,0
218,9993,10000,67.36363636363636,68.0909090909091,0,0,2.1666666666666665,3.8645833333333335,5,1,4,0,1
219,9994,8342,68.45454545454545,72.18181818181819,0,0,3.608333333333334,3.579166666666667,4,9,0,5,0
220,8571,1773,66.54545454545455,63.40909090909091,0,0,1.6649999999999998,2.0854166666666667,7,9,7,3,1
221,9998,8203,64.27272727272727,66.68181818181819,0,0,2.2,1.9816666666666665,6,7,4,4,1
222,10001,9997,67.22727272727273,65.18181818181819,0,0,1.72,1.41375,1,1,1,0,1
223,9984,9989,67.0909090909091,66.0909090909091,0,0,1.6866666666666668,1.3916666666666666,10,3,7,1,0
224,8342,9998,72.54545454545455,64.27272727272727,0,0,1.3283333333333334,1.6145833333333333,11,8,7,2,1
225,8635,9993,72.81818181818181,67.36363636363636,0,0,1.3066666666666666,1.9333333333333333,11,8,7,1,1
